"deficiency - vitamin c"
"scorbutus"
"vitamin c deficiency"
"scurvy","4","['disease or syndrome']"
"ascorbic acid","1","['organic chemical', 'pharmacologic substance']"
"vitamins","1","['organic chemical', 'pharmacologic substance']"
"gingiva","1","['body part, organ, or organ component', 'pharmacologic substance']"
"weakness","1","['sign or symptom']"
"asthenia","1","['sign or symptom']"
"skin hemorrhages","1","['disease or syndrome']"
"hemorrhage","1","['pathologic function', 'therapeutic or preventive procedure']"
"anemia","1","['disease or syndrome']"
